10-01-2022 20:25:52.167 INFO  c.e.x.controller.XmlController.parseProjectByPath - Run into API: /pathParse
10-01-2022 20:25:52.188 INFO  c.e.x.controller.XmlController.parseProjectByPath - Start building xml tree...
10-01-2022 20:25:52.499 INFO  c.e.x.controller.XmlController.parseProjectByPath - Done parsing xml tree...
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Parsing xml nodes done in 376 ms!
10-01-2022 20:25:52.545 INFO  c.e.x.controller.XmlController.parseProjectByPath - Recalculating xmlNode id by javaNode id...
10-01-2022 20:26:03.458 INFO  c.e.x.controller.XmlController.analyzeDependency - Run into API: /dependency
10-01-2022 20:26:03.461 INFO  c.e.x.controller.XmlController.analyzeDependency - Analyzing dependency...
10-01-2022 20:26:03.565 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\configuration\formConfiguration.xhtml\ui:composition:23:57\ui:define:42:31\h:form:43:58\div:49:71\div:67:52\p:commandButton:72:78 with value menu
10-01-2022 20:26:03.566 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\configuration\formConfiguration.xhtml\ui:composition:23:57\ui:define:33:39\h:outputText:34:78 with value messages
10-01-2022 20:26:03.566 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\configuration\formConfiguration.xhtml\ui:composition:23:57\ui:define:37:34\li:39:28\a:39:62 with value breadcrumb
10-01-2022 20:26:03.566 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\configuration\formConfiguration.xhtml\ui:composition:23:57\ui:define:37:34\li:38:13\a:38:25 with value breadcrumb
10-01-2022 20:26:03.566 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\configuration\formConfiguration.xhtml\ui:composition:23:57\ui:define:42:31\h:form:43:58\div:49:71\div:50:43\div:51:54\small:55:32 with value messages
10-01-2022 20:26:03.567 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\configuration\formConfiguration.xhtml\ui:composition:23:57\ui:define:29:33 with value messages
10-01-2022 20:26:03.567 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:36:39\div:37:39\o:outputFormat:43:84 with value messages
10-01-2022 20:26:03.568 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:58:31\h:form:59:32\div:68:71\div:75:43\div:76:54\div:77:42\div:78:62\p:outputLabel:80:90 with value messages
10-01-2022 20:26:03.568 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:32:33 with value messages
10-01-2022 20:26:03.568 INFO  c.e.x.service.XmlServiceImpl.analyzeDependencyFromBeanToView - Bean:  call injectedBean: C:\Users\thanh\Documents\web-budget\src\main\webapp\secured\configuration\group\detailGroup.xhtml\ui:composition:26:57\ui:define:49:34\li:50:13\a:50:25 with value breadcrumb
